Age,Gender,Height_cm,Weight_kg,Fitness_Goal,Diet_Preference,Diet_Plan,Breakfast,Lunch,Dinner,Snacks,Calories,Protein_g,Carbs_g,Fats_g
45,Male,178,53,Muscle Gain,Vegan,High Protein Plan,Smoothie bowl,Quinoa with veggies,Chicken stir fry,Sprouts,2762,89,299,83
27,Female,152,71,Muscle Gain,Non-Vegetarian,Low Carb Plan,Poha with vegetables,Vegetable biryani,Paneer curry with rice,Popcorn,2639,119,224,48
18,Male,176,96,Weight Loss,Vegan,High Protein Plan,Poha with vegetables,Fish curry with rice,Tofu curry,Nuts mix,1904,176,237,92
44,Female,175,95,Maintenance,Vegan,Balanced Plan,Oatmeal with fruits,Quinoa with veggies,Veg pasta,Nuts mix,2170,61,239,41
44,Male,188,56,Muscle Gain,Vegan,Keto Plan,Greek yogurt with nuts,Vegetable biryani,Tofu curry,Green smoothie,1876,99,286,98
46,Male,152,77,Muscle Gain,Vegetarian,Keto Plan,Oatmeal with fruits,Fish curry with rice,Grilled fish with veggies,Nuts mix,1708,138,201,50
33,Female,177,94,Weight Loss,Vegan,High Protein Plan,Upma with coconut chutney,Vegetable biryani,Grilled fish with veggies,Sprouts,2043,53,101,34
22,Male,174,66,Weight Loss,Vegetarian,Balanced Plan,Oatmeal with fruits,Vegetable biryani,Vegetable soup with bread,Sprouts,2480,173,259,59
30,Male,163,91,Maintenance,Vegetarian,Keto Plan,Avocado toast,Grilled chicken with salad,Grilled fish with veggies,Sprouts,1828,119,212,35
51,Female,150,91,Muscle Gain,Vegan,Balanced Plan,Boiled eggs and toast,Vegetable biryani,Tofu curry,Green smoothie,2686,63,259,68
21,Female,175,67,Muscle Gain,Vegetarian,Low Carb Plan,Upma with coconut chutney,Dal and brown rice,Lentil curry with rice,Fruit salad,2560,138,122,90
49,Male,170,57,Weight Loss,Vegan,Keto Plan,Protein shake,Vegetable biryani,Vegetable soup with bread,Green smoothie,1863,143,163,50
48,Female,159,73,Weight Loss,Vegetarian,Low Carb Plan,Boiled eggs and toast,Dal and brown rice,Salad and quinoa,Green smoothie,2279,150,255,54
31,Male,179,90,Maintenance,Vegetarian,Keto Plan,Protein shake,Dal and brown rice,Veg pasta,Nuts mix,1706,72,178,57
35,Female,158,77,Weight Loss,Vegan,Balanced Plan,Avocado toast,Fish curry with rice,Vegetable soup with bread,Popcorn,1606,61,299,82
40,Male,171,87,Weight Loss,Vegan,Keto Plan,Protein shake,Paneer rice bowl,Lentil curry with rice,Nuts mix,1819,73,222,58
47,Female,190,90,Muscle Gain,Non-Vegetarian,Balanced Plan,Greek yogurt with nuts,Paneer rice bowl,Paneer curry with rice,Popcorn,2343,93,104,67
55,Female,166,84,Muscle Gain,Non-Vegetarian,Low Carb Plan,Oatmeal with fruits,Quinoa with veggies,Chicken stir fry,Popcorn,2454,143,170,33
57,Male,155,75,Muscle Gain,Non-Vegetarian,High Protein Plan,Poha with vegetables,Fish curry with rice,Paneer curry with rice,Nuts mix,2811,180,171,86
22,Male,175,98,Muscle Gain,Vegetarian,High Protein Plan,Oatmeal with fruits,Vegetable biryani,Grilled fish with veggies,Protein bar,2504,176,232,44
19,Female,167,55,Maintenance,Non-Vegetarian,Keto Plan,Boiled eggs and toast,Tofu stir fry,Grilled fish with veggies,Boiled corn,1866,143,245,40
42,Male,161,72,Maintenance,Vegetarian,Low Carb Plan,Protein shake,Vegetable biryani,Lentil curry with rice,Sprouts,2957,75,265,90
21,Male,161,99,Muscle Gain,Vegan,High Protein Plan,Poha with vegetables,Grilled chicken with salad,Vegetable soup with bread,Boiled corn,2425,144,240,39
28,Male,176,85,Muscle Gain,Vegan,Low Carb Plan,Boiled eggs and toast,Vegetable biryani,Salad and quinoa,Chia pudding,2340,145,162,48
47,Male,175,57,Maintenance,Vegan,High Protein Plan,Protein shake,Grilled chicken with salad,Salad and quinoa,Sprouts,2116,98,274,56
32,Male,169,72,Maintenance,Non-Vegetarian,High Protein Plan,Upma with coconut chutney,Vegetable biryani,Paneer curry with rice,Green smoothie,1865,125,129,82
36,Male,165,99,Muscle Gain,Vegetarian,High Protein Plan,Protein shake,Quinoa with veggies,Vegetable soup with bread,Nuts mix,1597,60,278,67
45,Male,158,62,Weight Loss,Vegan,Keto Plan,Smoothie bowl,Vegetable biryani,Lentil curry with rice,Sprouts,2994,162,258,44
19,Female,175,72,Maintenance,Non-Vegetarian,High Protein Plan,Greek yogurt with nuts,Fish curry with rice,Paneer curry with rice,Popcorn,2489,71,214,73
55,Male,164,70,Weight Loss,Vegan,Balanced Plan,Poha with vegetables,Rajma with roti,Tofu curry,Nuts mix,2061,101,272,75
57,Male,180,65,Weight Loss,Vegetarian,High Protein Plan,Protein shake,Dal and brown rice,Veg pasta,Boiled corn,2639,132,107,40
47,Male,158,62,Muscle Gain,Non-Vegetarian,Low Carb Plan,Oatmeal with fruits,Rajma with roti,Chicken stir fry,Popcorn,1632,85,143,54
39,Male,158,96,Maintenance,Vegetarian,Keto Plan,Oatmeal with fruits,Vegetable biryani,Salad and quinoa,Chia pudding,1854,60,299,59
22,Female,165,69,Maintenance,Vegan,Low Carb Plan,Boiled eggs and toast,Fish curry with rice,Vegetable soup with bread,Nuts mix,2370,52,152,38
37,Female,153,71,Muscle Gain,Vegetarian,High Protein Plan,Oatmeal with fruits,Quinoa with veggies,Vegetable soup with bread,Boiled corn,2769,81,196,93
22,Female,179,80,Maintenance,Vegetarian,Balanced Plan,Boiled eggs and toast,Paneer rice bowl,Salad and quinoa,Boiled corn,1747,50,178,61
54,Male,163,54,Maintenance,Vegetarian,Balanced Plan,Upma with coconut chutney,Dal and brown rice,Paneer curry with rice,Nuts mix,2888,138,170,63
26,Male,158,88,Maintenance,Vegan,Balanced Plan,Boiled eggs and toast,Fish curry with rice,Tofu curry,Sprouts,2186,113,141,52
19,Female,152,77,Maintenance,Non-Vegetarian,Keto Plan,Avocado toast,Grilled chicken with salad,Chicken stir fry,Green smoothie,2070,80,155,93
38,Male,184,99,Muscle Gain,Vegetarian,Balanced Plan,Upma with coconut chutney,Tofu stir fry,Tofu curry,Chia pudding,2357,117,208,71
51,Male,184,100,Maintenance,Vegan,Low Carb Plan,Protein shake,Paneer rice bowl,Salad and quinoa,Boiled corn,2921,87,143,86
28,Male,179,70,Weight Loss,Vegan,High Protein Plan,Poha with vegetables,Vegetable biryani,Grilled fish with veggies,Popcorn,2915,50,150,80
38,Female,189,87,Muscle Gain,Vegetarian,High Protein Plan,Boiled eggs and toast,Tofu stir fry,Tofu curry,Sprouts,1999,96,142,44
60,Male,151,97,Muscle Gain,Vegan,Low Carb Plan,Smoothie bowl,Grilled chicken with salad,Tofu curry,Chia pudding,1538,112,255,45
18,Female,156,69,Maintenance,Non-Vegetarian,Low Carb Plan,Greek yogurt with nuts,Fish curry with rice,Tofu curry,Green smoothie,2612,52,110,40
30,Male,151,55,Muscle Gain,Vegan,Balanced Plan,Oatmeal with fruits,Vegetable biryani,Salad and quinoa,Fruit salad,2409,170,247,38
55,Female,172,82,Weight Loss,Vegetarian,Keto Plan,Greek yogurt with nuts,Quinoa with veggies,Tofu curry,Green smoothie,1765,113,146,78
46,Male,182,61,Muscle Gain,Non-Vegetarian,Balanced Plan,Oatmeal with fruits,Tofu stir fry,Tofu curry,Popcorn,2534,70,205,55
33,Male,173,80,Maintenance,Vegetarian,Keto Plan,Boiled eggs and toast,Fish curry with rice,Grilled fish with veggies,Sprouts,2109,161,300,74
42,Male,184,86,Muscle Gain,Vegan,Balanced Plan,Smoothie bowl,Paneer rice bowl,Lentil curry with rice,Protein bar,2705,84,196,42
44,Male,171,91,Maintenance,Non-Vegetarian,High Protein Plan,Poha with vegetables,Grilled chicken with salad,Chicken stir fry,Boiled corn,2307,114,146,56
54,Female,154,95,Weight Loss,Vegan,Low Carb Plan,Poha with vegetables,Fish curry with rice,Paneer curry with rice,Chia pudding,2359,170,150,39
35,Female,189,99,Muscle Gain,Non-Vegetarian,High Protein Plan,Protein shake,Vegetable biryani,Vegetable soup with bread,Boiled corn,2339,179,166,73
58,Female,150,100,Weight Loss,Vegetarian,Keto Plan,Avocado toast,Rajma with roti,Salad and quinoa,Fruit salad,1756,151,252,47
19,Female,181,90,Muscle Gain,Non-Vegetarian,Keto Plan,Poha with vegetables,Tofu stir fry,Lentil curry with rice,Sprouts,2748,151,215,76
24,Male,184,82,Weight Loss,Non-Vegetarian,Balanced Plan,Poha with vegetables,Rajma with roti,Tofu curry,Protein bar,2965,106,262,30
19,Female,161,69,Maintenance,Vegan,Keto Plan,Boiled eggs and toast,Grilled chicken with salad,Veg pasta,Sprouts,2021,118,268,34
39,Male,177,74,Muscle Gain,Vegan,Balanced Plan,Avocado toast,Fish curry with rice,Vegetable soup with bread,Chia pudding,1675,75,104,83
39,Male,163,89,Maintenance,Vegetarian,Low Carb Plan,Smoothie bowl,Grilled chicken with salad,Salad and quinoa,Green smoothie,1625,92,226,59
49,Male,177,81,Weight Loss,Vegetarian,High Protein Plan,Protein shake,Paneer rice bowl,Salad and quinoa,Green smoothie,2685,118,115,96
37,Male,170,71,Weight Loss,Vegetarian,Keto Plan,Upma with coconut chutney,Dal and brown rice,Lentil curry with rice,Green smoothie,2762,104,177,61
47,Female,190,82,Muscle Gain,Vegetarian,Keto Plan,Upma with coconut chutney,Paneer rice bowl,Grilled fish with veggies,Protein bar,2052,119,273,92
37,Male,177,78,Weight Loss,Vegan,Low Carb Plan,Oatmeal with fruits,Grilled chicken with salad,Lentil curry with rice,Chia pudding,2482,147,161,68
46,Female,152,79,Muscle Gain,Non-Vegetarian,Keto Plan,Boiled eggs and toast,Fish curry with rice,Chicken stir fry,Nuts mix,2091,174,137,74
27,Male,155,73,Muscle Gain,Vegan,High Protein Plan,Boiled eggs and toast,Paneer rice bowl,Lentil curry with rice,Sprouts,1888,81,143,60
56,Male,163,97,Weight Loss,Vegetarian,High Protein Plan,Upma with coconut chutney,Quinoa with veggies,Grilled fish with veggies,Protein bar,2528,172,296,97
24,Female,187,64,Weight Loss,Vegan,Balanced Plan,Upma with coconut chutney,Quinoa with veggies,Grilled fish with veggies,Fruit salad,2642,83,237,33
53,Female,151,66,Weight Loss,Vegetarian,Balanced Plan,Smoothie bowl,Paneer rice bowl,Vegetable soup with bread,Chia pudding,1868,94,290,86
20,Male,185,79,Muscle Gain,Vegan,Balanced Plan,Greek yogurt with nuts,Vegetable biryani,Lentil curry with rice,Chia pudding,2801,89,283,31
53,Female,161,50,Maintenance,Non-Vegetarian,Balanced Plan,Boiled eggs and toast,Tofu stir fry,Veg pasta,Nuts mix,2783,147,265,43
48,Female,186,94,Muscle Gain,Vegan,High Protein Plan,Protein shake,Fish curry with rice,Lentil curry with rice,Protein bar,2630,103,234,90
37,Female,179,76,Maintenance,Non-Vegetarian,Low Carb Plan,Protein shake,Paneer rice bowl,Salad and quinoa,Chia pudding,2744,173,241,62
18,Male,181,86,Maintenance,Vegan,Balanced Plan,Oatmeal with fruits,Tofu stir fry,Tofu curry,Green smoothie,2148,149,183,66
42,Male,165,97,Maintenance,Vegetarian,Balanced Plan,Oatmeal with fruits,Tofu stir fry,Salad and quinoa,Fruit salad,2699,50,105,41
42,Female,185,57,Maintenance,Non-Vegetarian,Keto Plan,Upma with coconut chutney,Quinoa with veggies,Tofu curry,Fruit salad,1952,156,177,42
18,Male,170,92,Muscle Gain,Vegetarian,Low Carb Plan,Protein shake,Fish curry with rice,Tofu curry,Protein bar,1876,179,141,75
49,Male,187,95,Muscle Gain,Vegan,Low Carb Plan,Boiled eggs and toast,Grilled chicken with salad,Vegetable soup with bread,Green smoothie,2518,171,176,30
31,Female,178,53,Muscle Gain,Vegan,Keto Plan,Boiled eggs and toast,Quinoa with veggies,Chicken stir fry,Chia pudding,2809,93,188,39
32,Female,153,69,Muscle Gain,Vegetarian,High Protein Plan,Avocado toast,Quinoa with veggies,Chicken stir fry,Nuts mix,2602,114,136,92
48,Male,162,75,Maintenance,Non-Vegetarian,Low Carb Plan,Smoothie bowl,Quinoa with veggies,Paneer curry with rice,Sprouts,2120,105,271,47
39,Male,176,83,Weight Loss,Vegetarian,High Protein Plan,Greek yogurt with nuts,Quinoa with veggies,Tofu curry,Green smoothie,2067,150,289,96
36,Male,174,84,Maintenance,Vegetarian,Keto Plan,Smoothie bowl,Paneer rice bowl,Vegetable soup with bread,Fruit salad,2324,75,175,34
50,Male,185,95,Muscle Gain,Vegan,High Protein Plan,Smoothie bowl,Fish curry with rice,Chicken stir fry,Protein bar,2497,74,164,80
60,Male,168,62,Weight Loss,Non-Vegetarian,Low Carb Plan,Upma with coconut chutney,Grilled chicken with salad,Veg pasta,Protein bar,2312,121,229,42
42,Female,176,90,Weight Loss,Vegan,High Protein Plan,Boiled eggs and toast,Fish curry with rice,Paneer curry with rice,Fruit salad,1956,105,220,88
57,Female,159,79,Maintenance,Non-Vegetarian,Balanced Plan,Avocado toast,Quinoa with veggies,Vegetable soup with bread,Fruit salad,2132,84,250,36
22,Female,152,83,Maintenance,Non-Vegetarian,Balanced Plan,Avocado toast,Vegetable biryani,Vegetable soup with bread,Nuts mix,2068,157,257,30
25,Male,150,51,Weight Loss,Non-Vegetarian,Low Carb Plan,Boiled eggs and toast,Dal and brown rice,Salad and quinoa,Chia pudding,2562,140,279,30
50,Female,151,85,Muscle Gain,Non-Vegetarian,High Protein Plan,Oatmeal with fruits,Quinoa with veggies,Veg pasta,Green smoothie,2996,151,298,53
27,Male,154,82,Maintenance,Vegan,Balanced Plan,Oatmeal with fruits,Rajma with roti,Lentil curry with rice,Protein bar,2382,72,192,87
36,Female,152,73,Weight Loss,Vegetarian,High Protein Plan,Upma with coconut chutney,Fish curry with rice,Salad and quinoa,Boiled corn,2622,146,231,47
55,Female,187,74,Weight Loss,Vegetarian,Balanced Plan,Avocado toast,Paneer rice bowl,Grilled fish with veggies,Protein bar,2402,93,174,54
50,Female,162,58,Weight Loss,Vegetarian,Low Carb Plan,Avocado toast,Paneer rice bowl,Paneer curry with rice,Chia pudding,1977,56,228,85
29,Male,184,52,Muscle Gain,Vegan,Balanced Plan,Poha with vegetables,Paneer rice bowl,Paneer curry with rice,Protein bar,2186,165,230,39
19,Female,165,67,Muscle Gain,Vegan,High Protein Plan,Poha with vegetables,Fish curry with rice,Lentil curry with rice,Sprouts,1746,105,242,94
40,Male,182,63,Weight Loss,Vegan,Keto Plan,Avocado toast,Quinoa with veggies,Salad and quinoa,Green smoothie,1766,155,146,51
35,Male,180,83,Maintenance,Vegan,Balanced Plan,Avocado toast,Rajma with roti,Paneer curry with rice,Boiled corn,1624,146,296,42
57,Male,165,85,Muscle Gain,Vegetarian,Balanced Plan,Boiled eggs and toast,Fish curry with rice,Salad and quinoa,Protein bar,2618,74,169,44
18,Male,190,79,Weight Loss,Vegetarian,Balanced Plan,Upma with coconut chutney,Quinoa with veggies,Salad and quinoa,Chia pudding,2505,142,269,86
34,Male,173,87,Maintenance,Vegan,Balanced Plan,Avocado toast,Fish curry with rice,Grilled fish with veggies,Nuts mix,2473,55,211,55
24,Male,171,52,Weight Loss,Vegan,Keto Plan,Protein shake,Dal and brown rice,Grilled fish with veggies,Green smoothie,2349,110,173,82
47,Female,183,50,Weight Loss,Vegan,Keto Plan,Avocado toast,Tofu stir fry,Tofu curry,Green smoothie,2537,123,232,68
57,Male,178,87,Maintenance,Non-Vegetarian,Balanced Plan,Avocado toast,Paneer rice bowl,Grilled fish with veggies,Boiled corn,2997,60,258,67
34,Female,157,84,Maintenance,Vegetarian,Balanced Plan,Smoothie bowl,Paneer rice bowl,Salad and quinoa,Chia pudding,2921,159,122,34
46,Male,184,85,Muscle Gain,Vegan,Balanced Plan,Poha with vegetables,Dal and brown rice,Lentil curry with rice,Fruit salad,2595,163,243,72
34,Female,176,70,Maintenance,Vegetarian,High Protein Plan,Poha with vegetables,Grilled chicken with salad,Salad and quinoa,Chia pudding,2260,73,258,44
21,Male,177,69,Maintenance,Vegan,Low Carb Plan,Upma with coconut chutney,Tofu stir fry,Paneer curry with rice,Boiled corn,2743,141,175,34
23,Male,158,51,Maintenance,Vegetarian,Keto Plan,Boiled eggs and toast,Dal and brown rice,Grilled fish with veggies,Green smoothie,1535,103,167,70
45,Male,184,71,Maintenance,Vegetarian,Low Carb Plan,Poha with vegetables,Vegetable biryani,Vegetable soup with bread,Protein bar,1526,76,294,79
23,Female,164,91,Maintenance,Vegetarian,High Protein Plan,Upma with coconut chutney,Quinoa with veggies,Veg pasta,Protein bar,2850,126,146,43
50,Male,166,62,Maintenance,Vegan,Balanced Plan,Greek yogurt with nuts,Rajma with roti,Vegetable soup with bread,Sprouts,2941,166,289,98
32,Female,161,86,Weight Loss,Non-Vegetarian,Balanced Plan,Upma with coconut chutney,Dal and brown rice,Chicken stir fry,Fruit salad,1568,86,264,75
35,Male,172,84,Weight Loss,Vegan,Keto Plan,Greek yogurt with nuts,Grilled chicken with salad,Grilled fish with veggies,Boiled corn,1815,98,213,93
31,Female,172,57,Maintenance,Vegan,Low Carb Plan,Protein shake,Quinoa with veggies,Chicken stir fry,Sprouts,2054,137,180,84
58,Female,150,53,Weight Loss,Vegetarian,Keto Plan,Protein shake,Paneer rice bowl,Vegetable soup with bread,Popcorn,2200,134,213,96
46,Female,163,67,Weight Loss,Vegan,Balanced Plan,Smoothie bowl,Tofu stir fry,Paneer curry with rice,Sprouts,2777,104,261,57
43,Male,175,72,Weight Loss,Non-Vegetarian,Keto Plan,Greek yogurt with nuts,Grilled chicken with salad,Salad and quinoa,Fruit salad,2571,101,190,94
37,Male,154,75,Maintenance,Non-Vegetarian,Low Carb Plan,Smoothie bowl,Quinoa with veggies,Lentil curry with rice,Popcorn,2407,157,249,99
59,Female,174,80,Muscle Gain,Vegetarian,Keto Plan,Boiled eggs and toast,Grilled chicken with salad,Paneer curry with rice,Boiled corn,2339,87,175,33
40,Female,184,86,Maintenance,Non-Vegetarian,Low Carb Plan,Avocado toast,Grilled chicken with salad,Tofu curry,Chia pudding,2186,168,161,71
24,Female,162,89,Muscle Gain,Non-Vegetarian,High Protein Plan,Poha with vegetables,Paneer rice bowl,Tofu curry,Green smoothie,1722,89,142,65
35,Male,182,59,Maintenance,Vegan,Balanced Plan,Protein shake,Paneer rice bowl,Veg pasta,Nuts mix,2253,84,100,64
19,Female,179,52,Weight Loss,Vegetarian,Balanced Plan,Smoothie bowl,Dal and brown rice,Paneer curry with rice,Sprouts,1935,157,275,44
47,Male,166,80,Muscle Gain,Vegetarian,Keto Plan,Greek yogurt with nuts,Rajma with roti,Grilled fish with veggies,Chia pudding,1879,104,256,59
43,Female,167,71,Muscle Gain,Vegetarian,Low Carb Plan,Greek yogurt with nuts,Quinoa with veggies,Grilled fish with veggies,Green smoothie,2436,165,270,55
27,Female,156,59,Maintenance,Vegan,High Protein Plan,Boiled eggs and toast,Tofu stir fry,Paneer curry with rice,Sprouts,2269,160,212,62
45,Male,185,67,Muscle Gain,Vegan,Low Carb Plan,Greek yogurt with nuts,Tofu stir fry,Lentil curry with rice,Protein bar,2223,126,249,50
42,Female,188,62,Maintenance,Vegan,Low Carb Plan,Greek yogurt with nuts,Vegetable biryani,Chicken stir fry,Sprouts,2620,90,224,74
29,Female,159,93,Muscle Gain,Non-Vegetarian,Balanced Plan,Poha with vegetables,Tofu stir fry,Grilled fish with veggies,Green smoothie,2363,93,255,31
31,Female,188,94,Weight Loss,Vegan,High Protein Plan,Avocado toast,Dal and brown rice,Vegetable soup with bread,Protein bar,2731,168,208,69
29,Male,178,62,Maintenance,Vegetarian,High Protein Plan,Poha with vegetables,Tofu stir fry,Grilled fish with veggies,Chia pudding,1580,85,129,96
34,Female,162,86,Muscle Gain,Vegan,Low Carb Plan,Protein shake,Vegetable biryani,Chicken stir fry,Nuts mix,2348,118,180,61
31,Female,182,60,Muscle Gain,Vegetarian,High Protein Plan,Greek yogurt with nuts,Vegetable biryani,Tofu curry,Sprouts,1646,118,287,92
53,Male,181,97,Weight Loss,Non-Vegetarian,Keto Plan,Poha with vegetables,Dal and brown rice,Tofu curry,Green smoothie,2065,133,213,90
50,Female,179,62,Maintenance,Non-Vegetarian,Low Carb Plan,Greek yogurt with nuts,Vegetable biryani,Lentil curry with rice,Chia pudding,1867,118,102,35
40,Female,176,96,Weight Loss,Vegan,Low Carb Plan,Protein shake,Fish curry with rice,Vegetable soup with bread,Green smoothie,2140,111,299,40
54,Female,182,73,Weight Loss,Vegan,Keto Plan,Boiled eggs and toast,Tofu stir fry,Tofu curry,Green smoothie,1955,114,120,93
58,Female,177,61,Muscle Gain,Non-Vegetarian,High Protein Plan,Oatmeal with fruits,Fish curry with rice,Salad and quinoa,Protein bar,1644,158,183,85
39,Female,176,68,Muscle Gain,Vegan,Balanced Plan,Smoothie bowl,Grilled chicken with salad,Tofu curry,Nuts mix,2403,94,249,89
22,Male,162,91,Maintenance,Vegan,Keto Plan,Oatmeal with fruits,Quinoa with veggies,Veg pasta,Sprouts,1646,129,262,82
35,Male,152,84,Muscle Gain,Vegetarian,Keto Plan,Protein shake,Grilled chicken with salad,Grilled fish with veggies,Fruit salad,2097,115,156,39
49,Male,160,60,Maintenance,Vegan,Low Carb Plan,Oatmeal with fruits,Dal and brown rice,Tofu curry,Sprouts,2117,76,148,56
40,Female,151,98,Muscle Gain,Vegetarian,High Protein Plan,Upma with coconut chutney,Paneer rice bowl,Veg pasta,Chia pudding,1529,119,127,77
48,Female,190,62,Maintenance,Vegetarian,Balanced Plan,Boiled eggs and toast,Fish curry with rice,Paneer curry with rice,Green smoothie,2443,158,163,66
44,Male,158,80,Muscle Gain,Non-Vegetarian,Balanced Plan,Boiled eggs and toast,Quinoa with veggies,Grilled fish with veggies,Protein bar,1629,127,144,75
58,Male,151,51,Weight Loss,Vegetarian,Low Carb Plan,Protein shake,Grilled chicken with salad,Lentil curry with rice,Green smoothie,2489,78,237,57
24,Male,185,59,Weight Loss,Non-Vegetarian,Keto Plan,Avocado toast,Fish curry with rice,Vegetable soup with bread,Green smoothie,1523,179,210,41
34,Female,181,72,Muscle Gain,Vegetarian,Low Carb Plan,Smoothie bowl,Rajma with roti,Veg pasta,Fruit salad,1773,51,265,56
46,Male,183,82,Weight Loss,Vegetarian,Low Carb Plan,Boiled eggs and toast,Paneer rice bowl,Salad and quinoa,Protein bar,1604,105,232,62
56,Female,162,61,Weight Loss,Vegan,Keto Plan,Avocado toast,Paneer rice bowl,Vegetable soup with bread,Protein bar,2432,178,107,84
31,Male,164,100,Muscle Gain,Non-Vegetarian,Keto Plan,Protein shake,Grilled chicken with salad,Veg pasta,Fruit salad,2824,57,282,61
53,Female,161,53,Muscle Gain,Non-Vegetarian,High Protein Plan,Avocado toast,Dal and brown rice,Grilled fish with veggies,Sprouts,2785,175,103,54
59,Male,165,88,Maintenance,Vegetarian,Low Carb Plan,Boiled eggs and toast,Vegetable biryani,Chicken stir fry,Green smoothie,2972,81,277,98
53,Male,154,77,Maintenance,Non-Vegetarian,Keto Plan,Protein shake,Tofu stir fry,Paneer curry with rice,Protein bar,2005,92,242,75
23,Female,181,90,Muscle Gain,Vegetarian,Low Carb Plan,Protein shake,Dal and brown rice,Salad and quinoa,Sprouts,2008,171,216,40
18,Female,187,61,Muscle Gain,Vegetarian,Keto Plan,Protein shake,Dal and brown rice,Lentil curry with rice,Sprouts,2941,138,231,95
28,Male,179,77,Weight Loss,Vegan,Keto Plan,Upma with coconut chutney,Rajma with roti,Grilled fish with veggies,Popcorn,2658,149,289,79
19,Male,150,75,Weight Loss,Vegan,Keto Plan,Greek yogurt with nuts,Tofu stir fry,Chicken stir fry,Chia pudding,1500,112,274,80
50,Female,165,66,Weight Loss,Vegetarian,Low Carb Plan,Greek yogurt with nuts,Fish curry with rice,Tofu curry,Chia pudding,2185,101,294,40
21,Female,172,86,Weight Loss,Non-Vegetarian,Low Carb Plan,Protein shake,Rajma with roti,Lentil curry with rice,Sprouts,1966,160,271,90
38,Female,150,78,Muscle Gain,Non-Vegetarian,High Protein Plan,Avocado toast,Rajma with roti,Veg pasta,Nuts mix,2891,64,277,86
42,Female,153,78,Weight Loss,Vegetarian,Balanced Plan,Oatmeal with fruits,Quinoa with veggies,Tofu curry,Fruit salad,2199,83,296,87
29,Female,172,95,Weight Loss,Vegetarian,Low Carb Plan,Greek yogurt with nuts,Vegetable biryani,Grilled fish with veggies,Protein bar,2675,113,241,80
40,Female,185,54,Maintenance,Vegan,Low Carb Plan,Oatmeal with fruits,Quinoa with veggies,Grilled fish with veggies,Sprouts,1714,172,213,72
47,Female,173,66,Weight Loss,Vegan,High Protein Plan,Poha with vegetables,Paneer rice bowl,Lentil curry with rice,Chia pudding,2199,114,113,65
26,Male,158,96,Muscle Gain,Non-Vegetarian,Keto Plan,Avocado toast,Fish curry with rice,Vegetable soup with bread,Chia pudding,2703,70,125,87
29,Female,152,75,Maintenance,Non-Vegetarian,High Protein Plan,Upma with coconut chutney,Vegetable biryani,Grilled fish with veggies,Protein bar,1934,152,158,56
60,Male,167,75,Weight Loss,Non-Vegetarian,Keto Plan,Greek yogurt with nuts,Grilled chicken with salad,Chicken stir fry,Boiled corn,1842,103,164,45
53,Female,155,90,Maintenance,Vegan,Low Carb Plan,Greek yogurt with nuts,Dal and brown rice,Paneer curry with rice,Fruit salad,1540,148,194,87
26,Female,158,71,Weight Loss,Vegetarian,Low Carb Plan,Boiled eggs and toast,Fish curry with rice,Chicken stir fry,Boiled corn,2174,119,192,37
57,Female,160,66,Maintenance,Vegetarian,Low Carb Plan,Oatmeal with fruits,Tofu stir fry,Lentil curry with rice,Sprouts,2829,74,110,41
43,Male,187,67,Maintenance,Non-Vegetarian,High Protein Plan,Upma with coconut chutney,Paneer rice bowl,Lentil curry with rice,Fruit salad,2247,99,300,92
49,Male,154,83,Muscle Gain,Non-Vegetarian,Balanced Plan,Oatmeal with fruits,Rajma with roti,Grilled fish with veggies,Protein bar,2214,120,250,94
54,Female,188,89,Maintenance,Non-Vegetarian,High Protein Plan,Greek yogurt with nuts,Quinoa with veggies,Salad and quinoa,Protein bar,2282,138,204,52
32,Male,162,94,Weight Loss,Vegetarian,Balanced Plan,Boiled eggs and toast,Vegetable biryani,Chicken stir fry,Protein bar,1919,161,294,72
35,Male,172,65,Weight Loss,Vegetarian,High Protein Plan,Avocado toast,Quinoa with veggies,Paneer curry with rice,Nuts mix,1994,102,153,37
42,Male,174,86,Muscle Gain,Vegetarian,Balanced Plan,Avocado toast,Grilled chicken with salad,Grilled fish with veggies,Nuts mix,1617,147,119,84
55,Male,158,74,Weight Loss,Non-Vegetarian,Balanced Plan,Smoothie bowl,Tofu stir fry,Grilled fish with veggies,Protein bar,1992,57,216,92
24,Male,189,56,Muscle Gain,Vegan,High Protein Plan,Avocado toast,Dal and brown rice,Salad and quinoa,Protein bar,2547,93,133,52
43,Female,187,65,Maintenance,Vegan,Low Carb Plan,Poha with vegetables,Grilled chicken with salad,Lentil curry with rice,Boiled corn,2452,180,103,48
38,Male,177,72,Muscle Gain,Non-Vegetarian,High Protein Plan,Avocado toast,Tofu stir fry,Chicken stir fry,Boiled corn,1579,55,271,51
18,Female,187,96,Weight Loss,Non-Vegetarian,Balanced Plan,Protein shake,Dal and brown rice,Vegetable soup with bread,Fruit salad,2137,174,170,57
43,Male,187,96,Weight Loss,Vegetarian,High Protein Plan,Oatmeal with fruits,Rajma with roti,Lentil curry with rice,Sprouts,1874,158,133,34
50,Female,161,81,Maintenance,Vegetarian,Balanced Plan,Protein shake,Rajma with roti,Vegetable soup with bread,Boiled corn,2322,148,276,86
30,Male,161,65,Muscle Gain,Non-Vegetarian,Low Carb Plan,Upma with coconut chutney,Fish curry with rice,Salad and quinoa,Boiled corn,2214,97,272,39
